animal,date,time,latitude,longitude,LocationQuality
pb_06896,4/11/1992,2:21:07,62.98,-171.082,L3
pb_06732,12/4/1988,1:11:59,63,-172.069,L2
pb_06953,4/11/1994,0:38:25,63.007,-172.267,L2
pb_06876,3/10/1991,22:10:43,63.016,-170.321,LB
pb_06953,3/4/1993,20:38:39,63.037,-174.253,L1
pb_06876,3/13/1991,20:25:06,63.101,-171.115,LB
pb_06953,3/4/1993,2:07:34,63.115,-173.813,LZ
pb_06872,2/8/1991,20:20:56,63.116,-168.075,L1
pb_06951,12/30/1993,3:02:45,63.126,-167.839,L1
pb_06998,12/28/1993,1:43:24,63.135,-174.166,L1
pb_06744,12/13/1988,21:10:25,63.138,-168.156,L2
pb_06593,4/30/1987,2:54:46,63.14,-168.269,L3
pb_06791,12/25/1991,20:39:27,63.151,-167.691,L1
pb_06876,3/17/1991,2:34:21,63.164,-173.093,L1
pb_20002,12/14/1993,1:15:57,63.167,-168.242,L1
pb_06738,3/15/1988,20:23:19,63.194,-168.43,L2
pb_06881,4/9/1991,20:31:36,63.195,-168.455,L2
pb_06935,3/6/1994,1:15:11,63.22,-171.927,L1
pb_06593,4/23/1987,18:44:54,63.224,-168.265,L1
pb_06951,1/1/1994,23:04:53,63.224,-167.743,LA
pb_06738,3/15/1988,2:17:15,63.227,-168.447,L1
pb_06953,2/27/1993,3:08:31,63.243,-172.564,LB
pb_06953,3/2/1993,21:19:03,63.273,-173.619,L1
pb_06593,5/14/1987,22:48:30,63.289,-167.372,L3
pb_06951,3/17/1994,21:49:27,63.291,-178.979,L1
pb_06953,1/28/1994,22:37:32,63.303,-174.094,L3
pb_06953,3/2/1993,2:32:13,63.323,-173.365,L1
pb_06953,3/1/1993,1:05:45,63.33,-173.387,L3
pb_06881,4/13/1991,0:50:22,63.338,-168.778,L1
pb_06953,2/28/1993,1:16:03,63.338,-173.232,L2
pb_06738,3/17/1988,4:16:24,63.339,-168.406,L2
pb_06593,4/20/1987,21:51:33,63.34,-168.263,L2
pb_06593,5/12/1987,2:24:39,63.377,-167.553,L1
pb_06732,11/30/1988,22:34:08,63.378,-172.147,L2
pb_06998,1/17/1994,23:01:57,63.378,-172.884,L1
pb_06724,3/22/1988,1:00:14,63.384,-167.15,L1
pb_06593,3/24/1987,22:56:08,63.392,-168.897,L1
pb_06953,4/13/1994,22:06:30,63.399,-172.346,L2
pb_06951,3/2/1994,20:55:48,63.405,-175.883,L1
pb_06953,3/6/1994,1:15:11,63.438,-169.126,LB
pb_06732,11/28/1988,0:29:17,63.453,-172.656,L2
pb_06749,4/14/1988,21:12:17,63.473,-168.185,L1
pb_06743,4/4/1988,20:52:55,63.474,-168.205,L1
pb_06951,1/13/1994,21:07:21,63.475,-167.76,L1
pb_06441,2/13/1990,20:59:02,63.479,-167.236,L2
pb_06881,4/6/1991,20:55:36,63.479,-167.888,L1
